source_name,trt_name,trt_n_downsample,trt_hsurf_bits,replicate_uuid,sum leaf count,sum defmut
vanilla,Sben2x/Gneu,1000000,0,7ba580ce-e2c6-8689-b852-904c86e6ae6e,315558,8416
vanilla,Sben1.1x/Gdel1.1x,1000000,0,a9296565-6dbf-84d8-b250-a8d6abcb4d93,303,22
vanilla,Sben2x/Gdel2x,1000000,0,ad3d52a2-9827-87e1-9b10-174fe58abc95,14486,6660
vanilla,Sben1.3x/Gdel1.3x,1000000,0,d294ab43-4edc-8b1d-b431-087952aa3449,2686,350
vanilla,Sben1.3x/Gneu,1000000,0,d6f4c4c1-f6ca-8c80-bcf2-eedabcb69579,34972,532
vanilla,Sneu/Gneu,1000000,0,f29f40ce-7963-8edd-99aa-df22907b2a7f,36,16
vanilla,Sben1.1x/Gdel1.1x,1000000,0,258848bb-24c0-8cd4-bc9b-cde0593a23d0,183,20
vanilla,Sben1.3x/Gdel1.3x,1000000,0,2b9b8ab9-5f0c-80d7-ae2e-907b639d7c8e,2027,397
vanilla,Sben2x/Gneu,1000000,0,4e9c429f-684b-821f-9927-67b48ebe36b5,286590,8707
vanilla,Sneu/Gneu,1000000,0,a285c10e-fa89-82e9-bedf-6e5b45646398,51,13
vanilla,Sben1.3x/Gneu,1000000,0,103a0013-2f2d-8be6-bd6a-dd59ce05e6f5,26671,421
vanilla,Sben1.1x/Gdel1.1x,1000000,0,e25b1647-bd1d-895e-954d-430e3e32b5a0,47,13
vanilla,Sben1.1x/Gneu,1000000,0,1c0ccc71-ce9d-8b98-8e89-603ca3204946,1202,13
vanilla,Sben2x/Gdel2x,1000000,0,22842500-010e-85c8-bb7a-62112b5c1f42,15249,6567
vanilla,Sben1.1x/Gdel1.1x,1000000,0,0875d6d7-5998-857e-90a9-086b63715ecc,97,22
vanilla,Sben2x/Gdel2x,1000000,0,298b8490-3785-8872-b773-3ff0a790c147,18672,6771
vanilla,Sben1.3x/Gneu,1000000,0,2a0d3722-5565-8c85-a352-3007e0ea0c8b,44443,443
vanilla,Sben1.1x/Gneu,1000000,0,477d803d-c88a-8089-bf39-9d5e301aadd5,547,24
vanilla,Sben1.3x/Gdel1.3x,1000000,0,9b13258b-c49e-8e02-a311-f3d2247d539b,1982,303
vanilla,Sben1.3x/Gneu,1000000,0,a2aa2812-5768-8245-ad1d-a51604304b94,18969,462
vanilla,Sben2x/Gneu,1000000,0,b1bf4456-5fd5-8674-9ce5-f70ce8a19fc4,315939,8080
vanilla,Sben2x/Gdel2x,1000000,0,b69d2105-4f85-81ee-b111-6289b3990ab2,28530,6649
vanilla,Sneu/Gneu,1000000,0,d08818b6-9355-8fcc-92fb-bc5cb04bcef5,220,16
vanilla,Sben1.3x/Gdel1.3x,1000000,0,da2fa22a-4915-8882-8504-f6d9ecd7ae8e,22838,387
vanilla,Sben2x/Gneu,1000000,0,f5acdc9f-8a9a-8610-9abb-2fbb822bef10,309882,8454
vanilla-big,Sben1.1x/Gneu,200000,0,8972abb3-bbfd-8063-96c7-3e92aa0f32db,56,14
vanilla-big,Sben1.1x/Gdel1.1x,2000000,0,0069ad39-6de5-8b7a-9cf6-3206f83b9372,1053,68
vanilla-big,Sben1.1x/Gneu,2000000,0,e86726db-1b73-869e-9274-59bca767b1d1,3277,80
vanilla-big,Sben1.1x/Gdel1.1x,200000,64,50a8d3f5-c51e-80dc-a0b2-a0bca9963b31,10,10
vanilla-big,Sben1.1x/Gdel1.1x,200000,0,803eeaa6-b866-88c9-a38f-8d696b90d4d9,159,16
vanilla-big,Sben1.1x/Gdel1.1x,200000,64,803eeaa6-b866-88c9-a38f-8d696b90d4d9,12,12
